time,prey,predator
0.000000000000000000e+00,8.178038036625901341e+00,3.859558033755265960e+00
1.515151515151515194e-01,1.101363599971347540e+01,4.180679653080256131e+00
3.030303030303030387e-01,8.328936791613706703e+00,5.055443875537239506e+00
4.545454545454545858e-01,1.085120710514111053e+01,3.610720423895884768e+00
6.060606060606060774e-01,1.153028127602594211e+01,2.655313312221030841e+00
7.575757575757575690e-01,1.496717387731680304e+01,2.864498810972403664e+00
9.090909090909091717e-01,1.758612094146348426e+01,3.453435599046025928e+00
1.060606060606060552e+00,2.173126766719311576e+01,4.363916249978029072e+00
1.212121212121212155e+00,2.008027950521836758e+01,4.967597577490887595e+00
1.363636363636363757e+00,2.084381723981056567e+01,5.250316756283083919e+00
1.515151515151515138e+00,2.963754118337621790e+01,5.602398917647212429e+00
1.666666666666666741e+00,2.675008513513487785e+01,5.235147549165382941e+00
1.818181818181818343e+00,3.547378396445002124e+01,3.218095857232011525e+00
1.969696969696969724e+00,3.974540557322418977e+01,6.454836414764918651e+00
2.121212121212121104e+00,3.516478237919888983e+01,5.049073769361303476e+00
2.272727272727272929e+00,3.883464013893410538e+01,4.680470856118164491e+00
2.424242424242424310e+00,4.345949695206725494e+01,7.687766694870303397e+00
2.575757575757575690e+00,4.185654637940572087e+01,8.545691529921811025e+00
2.727272727272727515e+00,3.956714353680297336e+01,1.480513520567417807e+01
2.878787878787878896e+00,3.265904379691842507e+01,1.605402084839985122e+01
3.030303030303030276e+00,2.967015727000852365e+01,2.069666137753770130e+01
3.181818181818182101e+00,2.559319819825560671e+01,2.300038988073183077e+01
3.333333333333333481e+00,2.149306816625585981e+01,2.395511714796963787e+01
3.484848484848484862e+00,1.925436562185196365e+01,1.984681596207412468e+01
3.636363636363636687e+00,1.473575726195025304e+01,2.004186596735301862e+01
3.787878787878788067e+00,1.072039788847462916e+01,2.281576814061795844e+01
3.939393939393939448e+00,1.002106969481865484e+01,1.730531154038916952e+01
4.090909090909090828e+00,8.907925419931766342e+00,1.861471975740046858e+01
4.242424242424242209e+00,9.632822663233474358e+00,1.696520394921769892e+01
4.393939393939394478e+00,9.723400026776250371e+00,1.478993371502143184e+01
4.545454545454545858e+00,8.721040043394356900e+00,9.469482556660345551e+00
4.696969696969697239e+00,9.229288468124179801e+00,1.106759565198505868e+01
4.848484848484848619e+00,3.387982032580527658e+00,5.571429698307941436e+00
5.000000000000000000e+00,9.168078806768971134e+00,8.035610955953700341e+00
5.151515151515151381e+00,7.321519949921978743e+00,7.197767257534696483e+00
5.303030303030302761e+00,7.917981639278124817e+00,8.730234268829264010e+00
5.454545454545455030e+00,8.094988691475643705e+00,2.029748846078534896e+00
5.606060606060606410e+00,1.343353828834587560e+01,1.323093226076073936e+00
5.757575757575757791e+00,9.684620493836707311e+00,9.675459413956430943e-01
5.909090909090909172e+00,1.207681016831927323e+01,4.468209547148285665e+00
6.060606060606060552e+00,1.321539929358558041e+01,1.108083431283116926e+00
6.212121212121211933e+00,1.390059800191676231e+01,3.072034035870729429e+00
6.363636363636364202e+00,1.895287424553568201e+01,1.847365213201673573e+00
6.515151515151515582e+00,1.597191027184592116e+01,3.290049466774212839e+00
6.666666666666666963e+00,2.078799196262530913e+01,6.227774005205628072e+00
6.818181818181818343e+00,2.286438413578629181e+01,5.427113102619244955e+00
6.969696969696969724e+00,2.285830987812926907e+01,7.376244549534867190e-01
7.121212121212121104e+00,2.930334869331634806e+01,6.772165974284139800e+00
7.272727272727273373e+00,3.139973052682604049e+01,5.410338750705724564e+00
7.424242424242424754e+00,3.677221550682149598e+01,2.213124052935911745e+00
7.575757575757576134e+00,3.692637133267675154e+01,9.244637289778466993e+00
7.727272727272727515e+00,3.874008945101560641e+01,5.260021756171990859e+00
7.878787878787878896e+00,4.238939570359134734e+01,1.191281901535114685e+01
8.030303030303031164e+00,4.086973757497350590e+01,1.160424019626724679e+01
8.181818181818181657e+00,3.894339529388889787e+01,1.830461865681439804e+01
8.333333333333333925e+00,3.303877485938719616e+01,1.629022833666433101e+01
8.484848484848484418e+00,3.033533228162365702e+01,2.022573419659273597e+01
8.636363636363636687e+00,2.124485507864937262e+01,2.399977025304754719e+01
8.787878787878788955e+00,2.542809267579459842e+01,2.197968354184096285e+01
8.939393939393939448e+00,1.380241356675587561e+01,2.239862813938336217e+01
9.090909090909091717e+00,1.265905856946707431e+01,2.171251706264907000e+01
9.242424242424242209e+00,1.306273091666739106e+01,1.906553252140959742e+01
